Entrez Id,Gene,Dataset,Dependent Cell Lines,Cell Lines with Data,Strongly Selective,Common Essential
648740,ACTG1P4,DependencyEnum.RNAi_merged,0.0,397.0,False,False
72,ACTG2,DependencyEnum.RNAi_merged,350.0,708.0,False,True
86,ACTL6A,DependencyEnum.RNAi_merged,481.0,710.0,False,True
51412,ACTL6B,DependencyEnum.RNAi_merged,3.0,600.0,True,False
10881,ACTL7A,DependencyEnum.RNAi_merged,25.0,547.0,False,False
10880,ACTL7B,DependencyEnum.RNAi_merged,0.0,547.0,False,False
81569,ACTL8,DependencyEnum.RNAi_merged,0.0,547.0,False,False
284382,ACTL9,DependencyEnum.RNAi_merged,4.0,343.0,True,False
87,ACTN1,DependencyEnum.RNAi_merged,2.0,547.0,False,False
88,ACTN2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
89,ACTN3,DependencyEnum.RNAi_merged,0.0,547.0,False,False
81,ACTN4,DependencyEnum.RNAi_merged,1.0,710.0,False,False
55860,ACTR10,DependencyEnum.RNAi_merged,125.0,343.0,False,False
10121,ACTR1A,DependencyEnum.RNAi_merged,352.0,709.0,True,True
10120,ACTR1B,DependencyEnum.RNAi_merged,0.0,547.0,False,False
10097,ACTR2,DependencyEnum.RNAi_merged,42.0,547.0,False,False
10096,ACTR3,DependencyEnum.RNAi_merged,39.0,547.0,False,False
57180,ACTR3B,DependencyEnum.RNAi_merged,0.0,547.0,False,False
79913,ACTR5,DependencyEnum.RNAi_merged,5.0,710.0,False,False
64431,ACTR6,DependencyEnum.RNAi_merged,73.0,710.0,False,False
93973,ACTR8,DependencyEnum.RNAi_merged,144.0,600.0,False,False
139741,ACTRT1,DependencyEnum.RNAi_merged,1.0,343.0,False,False
140625,ACTRT2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
84517,ACTRT3,DependencyEnum.RNAi_merged,0.0,710.0,False,False
90,ACVR1,DependencyEnum.RNAi_merged,0.0,710.0,False,False
91,ACVR1B,DependencyEnum.RNAi_merged,1.0,710.0,False,False
130399,ACVR1C,DependencyEnum.RNAi_merged,0.0,710.0,False,False
92,ACVR2A,DependencyEnum.RNAi_merged,1.0,710.0,False,False
93,ACVR2B,DependencyEnum.RNAi_merged,2.0,710.0,True,False
94,ACVRL1,DependencyEnum.RNAi_merged,1.0,710.0,False,False
95,ACY1,DependencyEnum.RNAi_merged,12.0,547.0,False,False
91703,ACY3,DependencyEnum.RNAi_merged,0.0,547.0,False,False
97,ACYP1,DependencyEnum.RNAi_merged,1.0,547.0,False,False
98,ACYP2,DependencyEnum.RNAi_merged,1.0,710.0,False,False
100,ADA,DependencyEnum.RNAi_merged,2.0,547.0,False,False
51816,ADA2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
132612,ADAD1,DependencyEnum.RNAi_merged,5.0,343.0,False,False
161931,ADAD2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
161823,ADAL,DependencyEnum.RNAi_merged,0.0,600.0,False,False
102,ADAM10,DependencyEnum.RNAi_merged,6.0,280.0,False,False
4185,ADAM11,DependencyEnum.RNAi_merged,0.0,547.0,False,False
8038,ADAM12,DependencyEnum.RNAi_merged,0.0,710.0,False,False
8751,ADAM15,DependencyEnum.RNAi_merged,0.0,547.0,False,False
6868,ADAM17,DependencyEnum.RNAi_merged,0.0,708.0,False,False
8749,ADAM18,DependencyEnum.RNAi_merged,0.0,547.0,False,False
8728,ADAM19,DependencyEnum.RNAi_merged,6.0,547.0,True,False
2515,ADAM2,DependencyEnum.RNAi_merged,2.0,547.0,False,False
8748,ADAM20,DependencyEnum.RNAi_merged,1.0,547.0,False,False
8747,ADAM21,DependencyEnum.RNAi_merged,0.0,547.0,False,False
53616,ADAM22,DependencyEnum.RNAi_merged,0.0,547.0,False,False
8745,ADAM23,DependencyEnum.RNAi_merged,6.0,710.0,True,False
10863,ADAM28,DependencyEnum.RNAi_merged,0.0,547.0,False,False
11086,ADAM29,DependencyEnum.RNAi_merged,0.0,547.0,False,False
11085,ADAM30,DependencyEnum.RNAi_merged,0.0,708.0,False,False
203102,ADAM32,DependencyEnum.RNAi_merged,0.0,547.0,False,False
80332,ADAM33,DependencyEnum.RNAi_merged,0.0,547.0,False,False
8756,ADAM7,DependencyEnum.RNAi_merged,0.0,547.0,False,False
101,ADAM8,DependencyEnum.RNAi_merged,0.0,547.0,False,False
8754,ADAM9,DependencyEnum.RNAi_merged,0.0,547.0,False,False
27299,ADAMDEC1,DependencyEnum.RNAi_merged,37.0,547.0,False,False
9510,ADAMTS1,DependencyEnum.RNAi_merged,2.0,547.0,True,False
81794,ADAMTS10,DependencyEnum.RNAi_merged,4.0,710.0,False,False
81792,ADAMTS12,DependencyEnum.RNAi_merged,3.0,547.0,False,False
11093,ADAMTS13,DependencyEnum.RNAi_merged,0.0,547.0,False,False
140766,ADAMTS14,DependencyEnum.RNAi_merged,0.0,547.0,False,False
170689,ADAMTS15,DependencyEnum.RNAi_merged,2.0,547.0,False,False
170690,ADAMTS16,DependencyEnum.RNAi_merged,0.0,547.0,False,False
170691,ADAMTS17,DependencyEnum.RNAi_merged,0.0,547.0,False,False
170692,ADAMTS18,DependencyEnum.RNAi_merged,0.0,547.0,False,False
171019,ADAMTS19,DependencyEnum.RNAi_merged,1.0,547.0,False,False
9509,ADAMTS2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
80070,ADAMTS20,DependencyEnum.RNAi_merged,11.0,710.0,False,False
9508,ADAMTS3,DependencyEnum.RNAi_merged,2.0,710.0,True,False
9507,ADAMTS4,DependencyEnum.RNAi_merged,1.0,710.0,False,False
11096,ADAMTS5,DependencyEnum.RNAi_merged,0.0,547.0,False,False
11174,ADAMTS6,DependencyEnum.RNAi_merged,1.0,547.0,True,False
11173,ADAMTS7,DependencyEnum.RNAi_merged,0.0,501.0,False,False
11095,ADAMTS8,DependencyEnum.RNAi_merged,0.0,547.0,False,False
56999,ADAMTS9,DependencyEnum.RNAi_merged,0.0,547.0,False,False
92949,ADAMTSL1,DependencyEnum.RNAi_merged,0.0,343.0,False,False
9719,ADAMTSL2,DependencyEnum.RNAi_merged,0.0,343.0,False,False
57188,ADAMTSL3,DependencyEnum.RNAi_merged,1.0,600.0,False,False
54507,ADAMTSL4,DependencyEnum.RNAi_merged,0.0,547.0,False,False
339366,ADAMTSL5,DependencyEnum.RNAi_merged,0.0,597.0,False,False
11033,ADAP1,DependencyEnum.RNAi_merged,11.0,551.0,False,False
55803,ADAP2,DependencyEnum.RNAi_merged,1.0,597.0,True,False
103,ADAR,DependencyEnum.RNAi_merged,99.0,710.0,True,False
104,ADARB1,DependencyEnum.RNAi_merged,0.0,710.0,False,False
105,ADARB2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
23536,ADAT1,DependencyEnum.RNAi_merged,0.0,708.0,False,False
134637,ADAT2,DependencyEnum.RNAi_merged,2.0,547.0,False,False
113179,ADAT3,DependencyEnum.RNAi_merged,0.0,547.0,False,False
57143,ADCK1,DependencyEnum.RNAi_merged,6.0,708.0,True,False
90956,ADCK2,DependencyEnum.RNAi_merged,0.0,710.0,False,False
203054,ADCK5,DependencyEnum.RNAi_merged,1.0,708.0,False,False
107,ADCY1,DependencyEnum.RNAi_merged,2.0,711.0,False,False
55811,ADCY10,DependencyEnum.RNAi_merged,2.0,708.0,False,False
108,ADCY2,DependencyEnum.RNAi_merged,1.0,712.0,True,False
109,ADCY3,DependencyEnum.RNAi_merged,1.0,708.0,False,False
196883,ADCY4,DependencyEnum.RNAi_merged,1.0,708.0,True,False
111,ADCY5,DependencyEnum.RNAi_merged,1.0,708.0,True,False
112,ADCY6,DependencyEnum.RNAi_merged,8.0,710.0,False,False
113,ADCY7,DependencyEnum.RNAi_merged,0.0,711.0,False,False
114,ADCY8,DependencyEnum.RNAi_merged,0.0,708.0,False,False
115,ADCY9,DependencyEnum.RNAi_merged,1.0,710.0,True,False
116,ADCYAP1,DependencyEnum.RNAi_merged,1.0,547.0,False,False
117,ADCYAP1R1,DependencyEnum.RNAi_merged,11.0,547.0,False,False
118,ADD1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
119,ADD2,DependencyEnum.RNAi_merged,0.0,343.0,False,False
120,ADD3,DependencyEnum.RNAi_merged,4.0,343.0,True,False
84435,ADGRA1,DependencyEnum.RNAi_merged,1.0,547.0,True,False
25960,ADGRA2,DependencyEnum.RNAi_merged,2.0,547.0,False,False
166647,ADGRA3,DependencyEnum.RNAi_merged,1.0,343.0,True,False
575,ADGRB1,DependencyEnum.RNAi_merged,1.0,710.0,True,False
576,ADGRB2,DependencyEnum.RNAi_merged,12.0,547.0,False,False
577,ADGRB3,DependencyEnum.RNAi_merged,0.0,711.0,False,False
283383,ADGRD1,DependencyEnum.RNAi_merged,12.0,547.0,False,False
347088,ADGRD2,DependencyEnum.RNAi_merged,68.0,547.0,False,False
2015,ADGRE1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
30817,ADGRE2,DependencyEnum.RNAi_merged,2.0,708.0,False,False
84658,ADGRE3,DependencyEnum.RNAi_merged,1.0,547.0,False,False
326342,ADGRE4P,DependencyEnum.RNAi_merged,0.0,547.0,False,False
976,ADGRE5,DependencyEnum.RNAi_merged,0.0,708.0,False,False
266977,ADGRF1,DependencyEnum.RNAi_merged,1.0,708.0,True,False
222611,ADGRF2P,DependencyEnum.RNAi_merged,13.0,547.0,True,False
165082,ADGRF3,DependencyEnum.RNAi_merged,3.0,547.0,True,False
221393,ADGRF4,DependencyEnum.RNAi_merged,7.0,547.0,False,False
221395,ADGRF5,DependencyEnum.RNAi_merged,3.0,712.0,True,False
9289,ADGRG1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
10149,ADGRG2,DependencyEnum.RNAi_merged,1.0,712.0,False,False
222487,ADGRG3,DependencyEnum.RNAi_merged,1.0,547.0,True,False
139378,ADGRG4,DependencyEnum.RNAi_merged,275.0,547.0,True,False
221188,ADGRG5,DependencyEnum.RNAi_merged,1.0,547.0,True,False
57211,ADGRG6,DependencyEnum.RNAi_merged,1.0,547.0,False,False
84873,ADGRG7,DependencyEnum.RNAi_merged,1.0,547.0,False,False
22859,ADGRL1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
23266,ADGRL2,DependencyEnum.RNAi_merged,1.0,547.0,True,False
23284,ADGRL3,DependencyEnum.RNAi_merged,0.0,711.0,False,False
64123,ADGRL4,DependencyEnum.RNAi_merged,3.0,547.0,False,False
84059,ADGRV1,DependencyEnum.RNAi_merged,0.0,710.0,False,False
124,ADH1A,DependencyEnum.RNAi_merged,0.0,708.0,False,False
125,ADH1B,DependencyEnum.RNAi_merged,3.0,708.0,False,False
126,ADH1C,DependencyEnum.RNAi_merged,1.0,708.0,False,False
127,ADH4,DependencyEnum.RNAi_merged,52.0,710.0,False,False
128,ADH5,DependencyEnum.RNAi_merged,1.0,708.0,False,False
130,ADH6,DependencyEnum.RNAi_merged,0.0,708.0,False,False
137872,ADHFE1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
55256,ADI1,DependencyEnum.RNAi_merged,1.0,547.0,False,False
149685,ADIG,DependencyEnum.RNAi_merged,0.0,285.0,False,False
9370,ADIPOQ,DependencyEnum.RNAi_merged,4.0,597.0,True,False
51094,ADIPOR1,DependencyEnum.RNAi_merged,0.0,710.0,False,False
79602,ADIPOR2,DependencyEnum.RNAi_merged,0.0,711.0,False,False
10974,ADIRF,DependencyEnum.RNAi_merged,0.0,507.0,False,False
132,ADK,DependencyEnum.RNAi_merged,1.0,710.0,False,False
133,ADM,DependencyEnum.RNAi_merged,7.0,710.0,False,False
79924,ADM2,DependencyEnum.RNAi_merged,0.0,553.0,False,False
23394,ADNP,DependencyEnum.RNAi_merged,3.0,710.0,True,False
22850,ADNP2,DependencyEnum.RNAi_merged,1.0,547.0,False,False
134,ADORA1,DependencyEnum.RNAi_merged,0.0,712.0,False,False
135,ADORA2A,DependencyEnum.RNAi_merged,9.0,710.0,False,False
136,ADORA2B,DependencyEnum.RNAi_merged,0.0,710.0,False,False
140,ADORA3,DependencyEnum.RNAi_merged,0.0,708.0,False,False
83440,ADPGK,DependencyEnum.RNAi_merged,1.0,670.0,False,False
141,ADPRH,DependencyEnum.RNAi_merged,0.0,547.0,False,False
113622,ADPRHL1,DependencyEnum.RNAi_merged,0.0,280.0,False,False
54936,ADPRS,DependencyEnum.RNAi_merged,2.0,547.0,True,False
56985,ADPRM,DependencyEnum.RNAi_merged,5.0,708.0,True,False
148,ADRA1A,DependencyEnum.RNAi_merged,1.0,708.0,False,False
147,ADRA1B,DependencyEnum.RNAi_merged,0.0,708.0,False,False
146,ADRA1D,DependencyEnum.RNAi_merged,6.0,710.0,True,False
150,ADRA2A,DependencyEnum.RNAi_merged,0.0,710.0,False,False
151,ADRA2B,DependencyEnum.RNAi_merged,0.0,710.0,False,False
152,ADRA2C,DependencyEnum.RNAi_merged,0.0,710.0,False,False
