PositionID,bChecked,strName,dXPosition,dYPosition,dZPosition,dPFSOffset,row,column,well,field,x,y,well_row_odd,well_row_id,well_column_odd,well_row_order,well_column_order
Point00228,true,E7#3,39500,42100,5212,11765,E,7,E7,3,39500,42100,1,5,2,-5,7
Point00229,true,E7#4,41300,42100,5212,11765,E,7,E7,4,41300,42100,1,5,2,-5,7
Point00230,true,E7#5,41300,40300,5212,11765,E,7,E7,5,41300,40300,1,5,2,-5,7
Point00231,true,E8#1,30500,38500,5212,11765,E,8,E8,1,30500,38500,1,5,1,5,8
Point00232,true,E8#2,30500,40300,5212,11765,E,8,E8,2,30500,40300,1,5,1,5,8
Point00233,true,E8#3,30500,42100,5212,11765,E,8,E8,3,30500,42100,1,5,1,5,8
Point00234,true,E8#4,32300,42100,5212,11765,E,8,E8,4,32300,42100,1,5,1,5,8
Point00235,true,E8#5,32300,40300,5212,11765,E,8,E8,5,32300,40300,1,5,1,5,8
Point00236,true,E9#1,21500,38500,5212,11765,E,9,E9,1,21500,38500,1,5,2,-5,9
Point00237,true,E9#2,21500,40300,5212,11765,E,9,E9,2,21500,40300,1,5,2,-5,9
Point00238,true,E9#3,21500,42100,5212,11765,E,9,E9,3,21500,42100,1,5,2,-5,9
Point00239,true,E9#4,23300,42100,5212,11765,E,9,E9,4,23300,42100,1,5,2,-5,9
Point00240,true,E9#5,23300,40300,5212,11765,E,9,E9,5,23300,40300,1,5,2,-5,9
Point00241,true,E10#1,12500,38500,5212,11765,E,10,E10,1,12500,38500,1,5,1,5,10
Point00242,true,E10#2,12500,40300,5212,11765,E,10,E10,2,12500,40300,1,5,1,5,10
Point00243,true,E10#3,12500,42100,5212,11765,E,10,E10,3,12500,42100,1,5,1,5,10
Point00244,true,E10#4,14300,42100,5212,11765,E,10,E10,4,14300,42100,1,5,1,5,10
Point00245,true,E10#5,14300,40300,5212,11765,E,10,E10,5,14300,40300,1,5,1,5,10
Point00246,true,E11#1,3500,38500,5212,11765,E,11,E11,1,3500,38500,1,5,2,-5,11
Point00247,true,E11#2,3500,40300,5212,11765,E,11,E11,2,3500,40300,1,5,2,-5,11
Point00248,true,E11#3,3500,42100,5212,11765,E,11,E11,3,3500,42100,1,5,2,-5,11
Point00249,true,E11#4,5300,42100,5212,11765,E,11,E11,4,5300,42100,1,5,2,-5,11
Point00250,true,E11#5,5300,40300,5212,11765,E,11,E11,5,5300,40300,1,5,2,-5,11
Point00251,true,F11#1,3500,47500,5212,11765,F,11,F11,1,3500,47500,2,6,2,-6,-11
Point00252,true,F11#2,3500,49300,5212,11765,F,11,F11,2,3500,49300,2,6,2,-6,-11
Point00253,true,F11#3,3500,51100,5212,11765,F,11,F11,3,3500,51100,2,6,2,-6,-11
Point00254,true,F11#4,5300,51100,5212,11765,F,11,F11,4,5300,51100,2,6,2,-6,-11
Point00255,true,F11#5,5300,49300,5212,11765,F,11,F11,5,5300,49300,2,6,2,-6,-11
Point00256,true,F10#1,12500,47500,5212,11765,F,10,F10,1,12500,47500,2,6,1,6,-10
Point00257,true,F10#2,12500,49300,5212,11765,F,10,F10,2,12500,49300,2,6,1,6,-10
Point00258,true,F10#3,12500,51100,5212,11765,F,10,F10,3,12500,51100,2,6,1,6,-10
Point00259,true,F10#4,14300,51100,5212,11765,F,10,F10,4,14300,51100,2,6,1,6,-10
Point00260,true,F10#5,14300,49300,5212,11765,F,10,F10,5,14300,49300,2,6,1,6,-10
